run_accession;fastq_ftp
SRR1518707;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518707/SRR1518707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518707/SRR1518707_2.fastq.gz"
SRR1518708;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518708/SRR1518708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518708/SRR1518708_2.fastq.gz"
SRR1518709;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518709/SRR1518709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518709/SRR1518709_2.fastq.gz"
SRR1518710;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518710/SRR1518710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518710/SRR1518710_2.fastq.gz"
SRR1518711;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518711/SRR1518711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518711/SRR1518711_2.fastq.gz"
SRR1518712;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518712/SRR1518712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518712/SRR1518712_2.fastq.gz"
SRR1518713;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518713/SRR1518713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518713/SRR1518713_2.fastq.gz"
SRR1518714;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518714/SRR1518714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518714/SRR1518714_2.fastq.gz"
SRR1518715;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518715/SRR1518715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518715/SRR1518715_2.fastq.gz"
SRR1518716;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518716/SRR1518716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518716/SRR1518716_2.fastq.gz"
SRR1518717;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518717/SRR1518717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518717/SRR1518717_2.fastq.gz"
SRR1518718;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518718/SRR1518718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518718/SRR1518718_2.fastq.gz"
SRR1518719;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518719/SRR1518719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518719/SRR1518719_2.fastq.gz"
SRR1518720;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518720/SRR1518720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518720/SRR1518720_2.fastq.gz"
SRR1518721;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518721/SRR1518721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518721/SRR1518721_2.fastq.gz"
SRR1518722;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518722/SRR1518722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518722/SRR1518722_2.fastq.gz"
SRR1518723;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518723/SRR1518723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518723/SRR1518723_2.fastq.gz"
SRR1518724;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518724/SRR1518724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518724/SRR1518724_2.fastq.gz"
SRR1518725;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518725/SRR1518725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518725/SRR1518725_2.fastq.gz"
SRR1518726;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518726/SRR1518726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518726/SRR1518726_2.fastq.gz"
SRR1518727;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518727/SRR1518727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518727/SRR1518727_2.fastq.gz"
SRR1518728;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518728/SRR1518728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518728/SRR1518728_2.fastq.gz"
SRR1518729;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518729/SRR1518729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518729/SRR1518729_2.fastq.gz"
SRR1518730;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518730/SRR1518730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518730/SRR1518730_2.fastq.gz"
SRR1518731;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518731/SRR1518731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518731/SRR1518731_2.fastq.gz"
SRR1518732;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518732/SRR1518732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518732/SRR1518732_2.fastq.gz"
SRR1518733;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518733/SRR1518733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518733/SRR1518733_2.fastq.gz"
SRR1518734;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518734/SRR1518734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518734/SRR1518734_2.fastq.gz"
SRR1518735;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518735/SRR1518735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518735/SRR1518735_2.fastq.gz"
SRR1518736;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518736/SRR1518736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518736/SRR1518736_2.fastq.gz"
SRR1518737;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518737/SRR1518737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518737/SRR1518737_2.fastq.gz"
SRR1518738;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518738/SRR1518738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518738/SRR1518738_2.fastq.gz"
SRR1518739;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518739/SRR1518739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518739/SRR1518739_2.fastq.gz"
SRR1518740;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518740/SRR1518740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518740/SRR1518740_2.fastq.gz"
SRR1518741;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518741/SRR1518741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518741/SRR1518741_2.fastq.gz"
SRR1518742;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518742/SRR1518742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518742/SRR1518742_2.fastq.gz"
SRR1518743;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518743/SRR1518743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518743/SRR1518743_2.fastq.gz"
SRR1518744;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518744/SRR1518744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518744/SRR1518744_2.fastq.gz"
SRR1518745;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518745/SRR1518745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518745/SRR1518745_2.fastq.gz"
SRR1518746;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518746/SRR1518746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518746/SRR1518746_2.fastq.gz"
SRR1518747;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518747/SRR1518747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518747/SRR1518747_2.fastq.gz"
SRR1518748;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518748/SRR1518748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518748/SRR1518748_2.fastq.gz"
SRR1518749;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518749/SRR1518749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518749/SRR1518749_2.fastq.gz"
SRR1518750;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518750/SRR1518750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518750/SRR1518750_2.fastq.gz"
SRR1518751;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518751/SRR1518751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518751/SRR1518751_2.fastq.gz"
SRR1518752;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518752/SRR1518752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518752/SRR1518752_2.fastq.gz"
SRR1518753;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518753/SRR1518753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518753/SRR1518753_2.fastq.gz"
SRR1518754;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518754/SRR1518754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518754/SRR1518754_2.fastq.gz"
SRR1518755;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518755/SRR1518755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518755/SRR1518755_2.fastq.gz"
SRR1518756;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518756/SRR1518756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518756/SRR1518756_2.fastq.gz"
SRR1518757;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518757/SRR1518757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518757/SRR1518757_2.fastq.gz"
